review_id,user_id,restaurant_id,rating,review_date,comment
1,1,1,5,2023-06-01,Amazing pasta! Best Italian in town.
2,1,6,5,2023-06-15,Exquisite French cuisine.
3,1,14,4,2023-07-01,Great steaks but pricey.
4,2,2,5,2023-06-05,Fresh sushi and excellent service.
5,2,7,4,2023-06-20,Good Chinese food.
6,2,13,5,2023-07-05,Authentic Thai flavors.
7,3,3,4,2023-06-08,Solid burgers and fries.
8,3,12,5,2023-06-22,Best pizza in the neighborhood!
9,3,15,4,2023-07-08,Tasty ramen bowls.
10,4,9,5,2023-06-10,BBQ heaven! Ribs are amazing.
11,4,11,5,2023-06-25,Fresh seafood and great views.
12,4,19,5,2023-07-10,Soul food that warms the heart.
13,5,10,4,2023-06-12,Nice vegan options.
14,5,20,5,2023-06-28,Farm-fresh ingredients shine.
15,6,2,4,2023-06-14,Good sushi but can get crowded.
16,6,7,5,2023-07-02,Love the dim sum here!
17,7,8,5,2023-06-16,Beautiful Mediterranean dishes.
18,7,16,4,2023-07-04,Solid Greek food.
19,8,5,5,2023-06-18,Best tacos ever!
20,8,17,5,2023-07-06,Pho is perfect on a cold day.
21,9,1,4,2023-06-20,Good Italian but slow service.
22,9,4,5,2023-07-08,Incredible Indian curries.
23,10,6,5,2023-06-22,Worth every penny!
24,10,14,5,2023-07-10,Best steakhouse in the city.
25,11,3,5,2023-06-24,Classic American burgers done right.
26,11,12,4,2023-07-12,Good pizza for the price.
27,12,9,4,2023-06-26,BBQ is good but sides could improve.
28,12,18,5,2023-07-14,Amazing tapas selection!
29,13,10,3,2023-06-28,Vegan food is okay.
30,13,20,4,2023-07-16,Fresh but small portions.
31,14,2,5,2023-06-30,Best sushi restaurant!
32,14,13,4,2023-07-18,Thai food is authentic.
33,15,8,4,2023-07-02,Nice Mediterranean atmosphere.
34,15,11,5,2023-07-20,Seafood is always fresh.
35,16,5,4,2023-07-04,Good tacos and margaritas.
36,16,19,5,2023-07-22,Comfort food at its best.
37,17,1,5,2023-07-06,Love the carbonara here!
38,17,7,4,2023-07-24,Consistent Chinese food.
39,18,4,5,2023-07-08,Spice levels are perfect.
40,18,16,4,2023-07-26,Greek salad is excellent.
41,19,3,3,2023-07-10,Burgers are average.
42,19,15,5,2023-07-28,Ramen broth is incredible!
43,20,9,5,2023-07-12,Brisket melts in your mouth.
44,20,17,4,2023-07-30,Good pho but could be spicier.
45,1,2,4,2023-08-01,Solid sushi option.
46,2,1,5,2023-08-03,Italian comfort food!
47,3,4,5,2023-08-05,Best Indian in town.
48,4,5,4,2023-08-07,Good value tacos.
49,5,6,5,2023-08-09,French fine dining at its best.
50,6,8,4,2023-08-11,Mediterranean flavors are great.
51,7,10,3,2023-08-13,Limited vegan menu.
52,8,12,5,2023-08-15,Pizza crust is perfect!
53,9,14,5,2023-08-17,Special occasion worthy.
54,10,18,4,2023-08-19,Tapas are fun to share.
55,11,7,5,2023-08-21,Authentic Chinese cuisine.
56,12,11,5,2023-08-23,Fresh catch of the day!
57,13,13,4,2023-08-25,Thai curry is excellent.
58,14,15,5,2023-08-27,Best ramen in the city.
59,15,16,4,2023-08-29,Greek food is hearty.
60,16,17,5,2023-08-31,Pho ga is my favorite!
61,17,19,5,2023-09-02,Soul food done right.
62,18,20,5,2023-09-04,Seasonal menu is amazing.
63,19,9,4,2023-09-06,Pulled pork sandwich is great.
64,20,3,4,2023-09-08,Good burgers for the price.
65,1,11,5,2023-09-10,Lobster roll is to die for!
66,2,16,4,2023-09-12,Moussaka is delicious.
67,3,18,5,2023-09-14,Love the wine pairing.
68,4,20,5,2023-09-16,Chef's special is always good.
69,5,1,4,2023-09-18,Pasta portions are generous.
70,6,4,5,2023-09-20,Butter chicken is perfect.
71,7,5,5,2023-09-22,Carne asada tacos are best!
72,8,7,4,2023-09-24,Fried rice is tasty.
73,9,10,4,2023-09-26,Vegan burger is surprisingly good.
74,10,12,5,2023-09-28,Margherita pizza is classic.
75,11,13,4,2023-09-30,Pad thai is authentic.
76,12,14,5,2023-10-02,Ribeye cooked to perfection.
77,13,15,5,2023-10-04,Tonkotsu ramen is rich and creamy.
78,14,2,4,2023-10-06,Salmon sashimi is fresh.
79,15,6,5,2023-10-08,Coq au vin is outstanding.
80,16,8,5,2023-10-10,Falafel plate is delicious.
81,17,9,5,2023-10-12,Smoked ribs are fall-off-the-bone.
82,18,11,4,2023-10-14,Clam chowder is creamy.
83,19,17,5,2023-10-16,Pho bo is hearty and flavorful.
84,20,19,5,2023-10-18,Mac and cheese is creamy perfection.
85,1,20,5,2023-10-20,Farm fresh salad is crisp.
86,2,3,3,2023-10-22,Burger was overcooked.
87,3,7,4,2023-10-24,Dumplings are good.
88,4,12,5,2023-10-26,Pizza has perfect char.
89,5,15,4,2023-10-28,Ramen noodles are perfect texture.
90,6,18,5,2023-10-30,Patatas bravas are addictive.
91,7,1,5,2023-11-01,Lasagna is incredible.
92,8,4,4,2023-11-03,Naan bread is fluffy.
93,9,6,5,2023-11-05,Duck confit is amazing.
94,10,8,4,2023-11-07,Hummus is smooth and flavorful.
95,11,10,4,2023-11-09,Quinoa bowl is healthy and tasty.
96,12,13,5,2023-11-11,Tom yum soup is perfect.
97,13,16,4,2023-11-13,Spanakopita is flaky and delicious.
98,14,19,5,2023-11-15,Fried chicken is crispy and juicy.
99,15,2,5,2023-11-17,Omakase experience was unforgettable.
100,16,14,5,2023-11-19,Filet mignon melts in mouth.
